Link,Dead Link Count
https://en.wikipedia.org/w/index.php?search=Editnotices%2FGroup%2FUser%3AThe+wub&title=Special%3ASearch&fulltext=1&ns10=1,1
https://en.wikipedia.org/w/index.php?title=AEV_3_Kodiak&action=edit,1
https://en.wikipedia.org/w/index.php?title=Ahlul_Bayt_Digital_Islamic_Library_Project&action=edit&section=14,1
https://en.wikipedia.org/w/index.php?title=Special:Log&page=Nickel,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912175740&fromFormatted=17%3A57%2C+12+September+2020&target=Module%3ACategory_see_also,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180308&fromFormatted=18%3A03%2C+12+September+2020&hideWikibase=0&target=Module%3ATemplate_test_case%2Fconfig,2
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180324&fromFormatted=18%3A03%2C+12+September+2020&hidemyself=1&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180327&fromFormatted=18%3A03%2C+12+September+2020&hidenondamaging=1&target=Module%3ATemplate_test_case%2Fconfig,2
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180328&fromFormatted=18%3A03%2C+12+September+2020&hidemyself=1&target=Module%3ATemplate_test_case%2Fconfig,3
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180329&fromFormatted=18%3A03%2C+12+September+2020&hidemyself=1&hidebots=0&target=Module%3ATemplate_test_case%2Fconfig,3
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180339&fromFormatted=18%3A03%2C+12+September+2020&hidemyself=1&hidebots=0&target=Module%3ATemplate_test_case%2Fconfig,6
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&from=20200912180341&fromFormatted=18%3A03%2C+12+September+2020&hidemyself=1&hidebots=0&target=Module%3ATemplate_test_case%2Fconfig,1
